Category,Organization name,Address,Zip Code,Days,Time: Open,Time: Close,People Served,Description,Phone Number,Not Found
Day / Drop in Centers,Welcome Center Lutheran Church of the Holy Communion,"2111 Sansom St, Philadelphia, PA 19103",19103,Tues & Fri: 12pm Lunch; 12-4pm,,,"WOMEN, MEN, & FAMILIES",Activities,215-567-3668,
Day / Drop in Centers,Philadelphia Recovery Community Center (PRCC),"1701 W Lehigh Ave, Philadelphia, PA 19132",19132,"Mon, Tues, Thurs, Fri: 12-8pm, Wed: 9-5pm, Sat: 9-1pm",,,"WOMEN, MEN, & FAMILIES","Case management, outpatient treatment, youth programs, training programs",215-223-7700,
Day / Drop in Centers,A New Life Recovery & Education Center,"3119 Spring Garden St, Philadelphia, PA 19104",19104,"Tues-Sat: 10-6pm Recovery & peer support; 1-3pm Snacks Wed, Thurs, Sat: 11-3:45pm Laundry & showers Tues: 12-4pm Mobile nurse",,,"WOMEN, MEN, & FAMILIES",,,
Day / Drop in Centers,The Well,"2709 N. Broad Street, 1st floor, Philadelphia, PA 19132",19132,Office: Mon-Fri: 9-5pm,,,"WOMEN, MEN, & FAMILIES",Recovery & peer support groups/life & job coaching,,
Day / Drop in Centers,St. John’s Hospice,"1221 Race St, Philadelphia, PA 19107",19107,,,,Men,"Mon, Tues, Wed, Fri (except 2nd Tues): 8:30am Clothing and showers (Mon for seniors, veterans, disabled only); 12-3pm Case management",215-563-7763,
Day / Drop in Centers,Mercy Hospice,"334 S 13th St, Philadelphia, PA 19107",19108,,,,Women,"Telephone, lunch, & referrals Thurs: 12:00-12:45pm Case management: Tues, Wed, Thurs: 12pm Showers",215-545-5153,
Day / Drop in Centers,The Perimeter (Veteran Services),"213-217 N 4th St, Philadelphia, PA 19106",19106,Mon-Fri,8:30,4:30 PM,VETERANS,"Showers, haircuts, food, clothing, laundry, counseling, shelter, transportation",215-923-2600,
Emergency Food,Sunday Breakfast Rescue Mission,"302 N 13th St, Philadelphia, PA 19107",19107,Mon-Fri,9:00 AM,5:00 PM,"WOMEN, MEN & FAMILIES","WOMEN, MEN & FAMILIES Sunday Breakfast Rescue Mission 302 N. 13th Street, 215-922-6400 Daily: Breakfast 7am; Lunch 12pm; Dinner 6pm",215-922-6400,
Emergency Food,Bright Hope Baptist Church,"1601 N 12th St, Philadelphia, PA 19122",19122,Mon - Thurs,6:00 PM,,"WOMEN, MEN & FAMILIES",,215-232-6004,
Emergency Food,Arch Street Methodist Church,"55 N Broad St, Philadelphia, PA 19107",19107,Sunday,6:00 PM,7:30 PM,"WOMEN, MEN & FAMILIES",Dinner Sun: 6-7:30pm,215-568-6250 ,
Emergency Food,Broad Street Ministry,"315 S. Broad Street Philadelphia, PA 19107",19107,"Breakfast Mon: 7:45-8:45am Lunch Thurs & Fri: 11:30-12:15pm, Sat: 12- 12:50pm Dinner Tues & Wed: 4-5:15pm Mail (pick up & sign up) Mon: 7:45-8:45am, Tues & Wed 3-5:30pm, Thurs & Fri: 11:30-1:30pm",6:00 AM,7:30 PM,"WOMEN, MEN & FAMILIES",, 215-735-4847 ,
Emergency Food,Mt. Olive Holy Temple,"1469 N Broad St, Philadelphia, PA 19122",19122,Tuesday,12:00 PM,2:00 PM,"WOMEN, MEN & FAMILIES",Lunch Tues: 12-2pm, 215-765-3372 ,
Emergency Food,Chosen 300 Outreach Center,"1116 Spring Garden Street Philadelphia, PA 19123",19123,"Lunch 1st Tues: 12pm (Learning Lunch)  Dinner Mon, Wed, Fri: 6pm (Nov-April Sat: 5pm) (May-Oct Sat: 5pm at 16th & Ben Franklin Pkwy) Support group 8am & Breakfast Sun: 10am ",,,"WOMEN, MEN & FAMILIES",,215-765-9806 ,
Emergency Food,Helping Hands,"2228 Ridge Ave, Philadelphia, PA 19121",19121,Sun,12:00 PM,,"WOMEN, MEN & FAMILIES",, 215-627-1656 ,
